,기초지자체,기타관광,레저스포츠,문화관광,쇼핑,숙박,역사관광,음식,자연관광,체험관광,외부방문자 수
110,경상북도 칠곡군,1645886.0,2153059.0,1843517.0,415226.0,1862383.0,794187.0,8001578.0,1227599.0,569082.0,18316116.0
111,경상북도 포항시 남구,4850381.0,170296.71428571426,3011962.0,2085687.0,3260277.0,278093.61904761905,9867919.714285713,2468349.9523809524,100216.0,26165944.0
112,경상북도 포항시 북구,2107121.0,983711.7142857143,1762915.0,4947223.0,2810300.0,410024.61904761905,10210420.714285713,3469749.9523809524,74909.0,26849144.0
113,광주광역시 광산구,3604330.0,1060016.0000000002,3766542.0,6235003.0,3620052.0,100472.0,20175657.0,11504.0,23392.0,38348013.0
114,광주광역시 남구,571524.0,524569.7142857143,1184205.0,2397885.0,987587.0,283028.61904761905,11944989.714285713,0.0,6830.0,17972459.0
115,광주광역시 동구,214498.0,437816.7142857143,4984774.0,7990436.0,2629171.0,799350.6190476189,12725080.714285713,0.0,5370.0,29832869.0
116,광주광역시 북구,1260373.0,273467.7142857143,8185695.0,5808571.0,2830434.0,408239.61904761905,21973597.714285716,0.0,5304.0,40801989.0
117,광주광역시 서구,4060388.0,197544.71428571426,4519073.0,10343865.0,3713390.0,235694.61904761905,19334867.714285716,150568.95238095237,1279.0,42628745.0
118,대구광역시 남구,458427.0,0.0,2100588.0,3444736.0,1319433.0,327831.61904761905,16067237.714285713,0.0,5228.0,23764996.0
119,대구광역시 달서구,467.0,470145.7142857143,7657132.0,11182355.0,3129640.0,143665.61904761905,22034348.714285716,1619166.9523809524,394649.0,46704070.0
120,대구광역시 달성군,541359.0,648038.7142857143,6073486.0,576790.0,1121796.0,1111309.619047619,15130826.714285713,708607.9523809524,67214.0,26051928.0
121,대구광역시 동구,10257581.0,539347.7142857143,3858093.0,16345364.0,3550914.0,1340897.619047619,14071330.714285713,53825.952380952374,184509.0,50274865.0
122,대구광역시 북구,642605.0,543076.7142857143,7504843.0,14991338.0,2944891.0,59932.61904761905,14733764.714285713,175045.95238095237,32109.0,41700523.0
123,대구광역시 서구,3306999.0,34434.71428571429,567317.0,6383835.0,1259892.0,3854.6190476190477,5795455.714285715,0.0,522.0,17397015.0
124,대구광역시 수성구,29210.0,671852.7142857143,4314572.0,3282919.0,5123978.0,184929.61904761905,26721844.714285716,1918848.9523809524,12277.0,42332930.0
125,대구광역시 중구,180002.0,71704.71428571429,9016737.0,21214398.0,3609166.0,307654.61904761905,19261487.714285716,0.0,25254.0,53731822.0
126,대전광역시 대덕구,2494597.0,532703.7142857143,1321369.0,3878033.0,2349052.0,95812.61904761905,10515849.714285713,361005.9523809524,5407.0,21626329.0
127,대전광역시 동구,13507099.0,48708.71428571429,1768667.0,3058167.0,1549172.0,58880.61904761905,8901793.714285713,575623.9523809524,1182.0,29541794.0
128,대전광역시 서구,389404.0,203230.71428571426,3990020.0,14895342.0,2996764.0,261482.61904761905,24669722.714285716,2500759.9523809524,8498.0,49987724.0
129,대전광역시 유성구,883346.0,949790.7142857143,4818251.0,13448992.0,5403394.0,239908.61904761905,23130882.714285716,3229.9523809523816,15179.0,48965964.0
